regime,speech_acc,speech_f1,cat_acc,cat_f1
Speech-dominant (80% speech),0.875,0.8740662139219015,0.8159722222222222,0.8097865337464909
Balanced (50% speech),0.875,0.8749396455989571,0.84375,0.8428822072424264
Non-speech-dominant (20% speech),0.8159722222222222,0.8111580667055693,0.7534722222222222,0.7474703054386393
