task,feature,acc_mean,acc_std,f1_mean,f1_std
speech_vs_nonspeech,mfcc,0.6927792195309497,0.024000565143082596,0.6926158073222234,0.023868168484307367
sound_categorization,mfcc,0.5880646866589773,0.023068446727826552,0.5780942664984994,0.02192126998115918
speech_vs_nonspeech,logmel,0.6761269703960016,0.025864085269290092,0.6759433718721385,0.025885794788004932
sound_categorization,logmel,0.5554618415993848,0.021862066530914565,0.5332179172992506,0.018940443636127787
speech_vs_nonspeech,ast,0.8495362360630526,0.014413966142467005,0.8493792791645118,0.01432777395291012
sound_categorization,ast,0.7455041330257594,0.007371295125545095,0.7435799380972773,0.009562004859128585
